,GaragNumb,Marsh,Graph,Smena,TimeNav,Latitude,Longitude,Speed,Azimuth
0,4740,2,7,2,14.11.2020 22:55:46,55.832603,49.043842,0,151
1,17017,43,15,2,14.11.2020 23:01:15,55.782859,49.178936,0,202
2,2516,31,6,2,14.11.2020 23:08:57,55.730452,49.146016,33,208
3,9411,33,5,2,14.11.2020 23:08:47,55.811813,49.266573,0,267
4,4219,47,7,2,14.11.2020 23:08:31,55.831133,49.049782,0,239
5,2538,45,12,2,14.11.2020 23:06:19,55.773749,49.211987,0,8
6,4262,72,7,2,14.11.2020 22:58:58,55.878951,49.006583,0,1
7,2171,34,5,2,14.11.2020 23:08:39,55.773495,49.212733,0,181
8,2764,91,5,2,14.11.2020 23:08:42,55.771615,49.211952,0,0
9,7131,89,8,2,14.11.2020 23:08:40,55.87395,49.003217,0,48
10,9410,33,8,2,14.11.2020 22:56:16,55.812245,49.266265,0,234
11,11964,90,6,2,14.11.2020 23:08:40,55.796483,49.16535,0,21
12,7127,89,12,2,14.11.2020 23:08:40,55.8742,49.0033,0,2
13,2158,30,9,2,14.11.2020 23:08:41,55.767098,49.218558,10,273
14,2531,45,4,2,14.11.2020 23:08:55,55.764685,49.202482,57,45
15,4304,10,4,2,14.11.2020 23:08:42,55.83096,49.044067,14,68
16,2172,1,4,2,14.11.2020 23:08:43,55.77193,49.210558,0,199
17,4309,15,1,2,14.11.2020 23:08:52,55.831674,49.049241,0,7
18,9619,53,9,2,14.11.2020 23:08:40,55.811583,49.267017,0,245
19,4767,46,9,2,14.11.2020 23:08:44,55.828608,49.042893,0,341
20,2445,1,11,2,14.11.2020 23:08:39,55.811367,49.198367,56,137
21,2536,45,23,2,14.11.2020 23:08:47,55.771813,49.211684,0,323
22,1102,37,10,2,14.11.2020 23:01:12,55.873633,49.0016,7,89
23,9719,33,17,2,14.11.2020 23:08:34,55.795983,49.220375,42,37
24,9832,33,2,2,14.11.2020 23:08:40,55.811383,49.266883,0,30
25,4102,29,7,2,14.11.2020 23:08:49,55.848641,49.076837,42,274
26,2454,18,17,2,14.11.2020 23:08:47,55.772135,49.212052,0,271
27,9639,63,14,2,14.11.2020 23:08:28,55.784585,49.2191,36,188
28,16605,35A,1,2,14.11.2020 22:57:32,55.796033,49.165893,0,144
29,4876,42,1,2,14.11.2020 23:08:25,55.83137,49.048368,0,61
30,2556,45,26,2,14.11.2020 23:08:50,55.77373,49.212582,0,200
31,1125,37,6,2,14.11.2020 23:08:40,55.873967,49.002433,0,183
32,9706,63,11,2,14.11.2020 23:08:52,55.745023,49.217683,17,316
33,2543,45,24,2,14.11.2020 23:06:27,55.771517,49.21188,0,15
34,1103,37,32,1,14.11.2020 23:08:45,55.873633,49.003417,0,64
35,1106,37,13,2,14.11.2020 23:08:40,55.874167,49.003317,0,32
36,2750,5,13,2,14.11.2020 23:08:55,55.774423,49.218858,71,181
37,9394,63,5,2,14.11.2020 23:01:39,55.812137,49.266632,0,0
38,4302,15,3,2,14.11.2020 23:08:40,55.834967,49.121117,26,0
39,9822,33,12,2,14.11.2020 23:08:40,55.8116,49.266633,0,40
40,1153,37,11,2,14.11.2020 23:08:40,55.8744,49.001483,0,20
41,9715,63,3,2,14.11.2020 23:08:41,55.811998,49.266887,0,321
42,2147,31,7,2,14.11.2020 23:08:46,55.771515,49.21066,0,159
43,2509,5,20,2,14.11.2020 23:08:19,55.773774,49.212072,0,2
44,11205,90,1,2,14.11.2020 23:08:40,55.796183,49.1657,0,349
45,4761,46,4,2,14.11.2020 23:08:52,55.832355,49.043482,0,157
46,11844,90,4,2,14.11.2020 23:08:40,55.795633,49.1641,4,249
47,4125,10A,1,2,14.11.2020 23:08:52,55.8316,49.049239,0,356
48,2423,18,14,2,14.11.2020 23:08:47,55.771903,49.211255,0,182
49,17816,43,7,2,14.11.2020 23:08:26,55.782553,49.176785,0,189
50,2427,60,12,2,14.11.2020 23:08:44,55.772407,49.210888,0,275
51,2443,60,10,2,14.11.2020 22:58:30,55.773152,49.210777,0,159
52,7143,89,5,2,14.11.2020 23:08:40,55.874383,49.00145,0,166
53,2530,45,9,2,14.11.2020 23:01:14,55.727261,49.19117,0,42
54,2442,30,7,2,14.11.2020 23:08:46,55.771283,49.212133,0,74
55,9413,33,11,2,14.11.2020 23:08:52,55.812137,49.267422,0,156
56,2162,68,5,2,14.11.2020 23:08:52,55.773315,49.212223,0,267
57,12001,55,7,2,14.11.2020 23:08:40,55.782683,49.179733,0,41
58,9625,53,8,2,14.11.2020 23:08:30,55.812607,49.267157,0,328
59,4238,72,11,2,14.11.2020 23:08:46,55.832129,49.049326,14,80
60,2759,31,19,2,14.11.2020 23:08:44,55.77333,49.210702,0,263
61,4145,40,3,2,14.11.2020 23:08:54,55.832617,49.043473,0,140
62,4810,49,9,2,14.11.2020 23:08:55,55.831125,49.046582,0,238
63,4180,62,1,2,14.11.2020 23:08:36,55.832009,49.048544,0,357
64,2714,22,5,2,14.11.2020 23:01:18,55.771307,49.212127,0,92
65,4173,36,14,2,14.11.2020 23:08:54,55.865807,48.957199,39,89
66,16708,28A,3,2,14.11.2020 23:08:40,55.795783,49.165517,0,358
67,90375,84,1,1,14.11.2020 23:08:40,55.811817,49.266933,0,73
68,2550,45,19,2,14.11.2020 23:07:26,55.772244,49.215493,0,87
69,4253,46,3,1,14.11.2020 23:08:49,55.831087,49.047448,0,140
70,4712,72,14,2,14.11.2020 23:08:55,55.831343,49.048761,0,328
71,14832,35,8,2,14.11.2020 23:02:27,55.808258,49.063285,0,205
72,1115,37,4,2,14.11.2020 22:55:20,55.87405,49.003267,0,303
73,4319,10A,7,2,14.11.2020 22:55:25,55.831326,49.048781,0,140
74,9720,63,8,2,14.11.2020 23:08:39,55.811733,49.266718,0,138
75,4252,46,20,2,14.11.2020 23:08:54,55.79776,49.214588,46,146
76,2503,22,3,2,14.11.2020 23:02:14,55.7737,49.212045,0,188
77,7145,89,14,2,14.11.2020 23:08:40,55.873933,49.0033,0,24
78,11850,90,3,2,14.11.2020 23:08:30,55.796717,49.1649,0,252
79,2705,30,31,2,14.11.2020 22:55:26,55.772377,49.210658,0,167
80,17053,43,1,2,14.11.2020 22:58:55,55.782423,49.176725,0,133
81,17062,43,9,2,14.11.2020 22:54:48,55.783173,49.177872,0,37
82,7129,89,9,2,14.11.2020 23:08:40,55.874133,49.003233,0,42
83,16628,35A,5,2,14.11.2020 23:08:40,55.795567,49.166217,0,149
84,2741,31,1,2,14.11.2020 23:08:52,55.77195,49.21031,1,42
85,7140,89,1,2,14.11.2020 23:08:40,55.873633,49.003267,0,139
86,4119,62,3,2,14.11.2020 23:08:47,55.831618,49.04934,0,342
87,4817,10A,3,2,14.11.2020 23:08:49,55.829047,49.042713,15,355
88,9494,53,1,2,14.11.2020 23:08:40,55.811617,49.266917,0,186
89,4261,46,12,2,14.11.2020 23:08:58,55.863514,48.897992,52,83
90,9626,33,13,2,14.11.2020 23:08:40,55.811883,49.266483,0,28
91,17192,11,1,1,14.11.2020 23:08:40,55.781933,49.177,0,192
92,4713,54,6,2,14.11.2020 23:03:54,55.831994,49.043646,0,175
93,1119,37,31,1,14.11.2020 23:08:40,55.874,49.002517,0,320
94,2541,45,14,2,14.11.2020 23:08:50,55.771855,49.212443,8,1
95,17057,43,11,2,14.11.2020 23:06:46,55.783115,49.17779,0,54
96,4247,46,6,2,14.11.2020 23:08:42,55.831583,49.049273,0,323
97,4160,36,10,2,14.11.2020 23:08:47,55.831533,49.049371,0,302
98,2512,1,8,2,14.11.2020 23:08:55,55.771429,49.211724,0,324
99,4112,36,2,2,14.11.2020 22:52:11,55.832199,49.049452,0,58
100,2539,45,5,2,14.11.2020 22:59:35,55.773803,49.212477,0,3
101,2761,18,8,2,14.11.2020 23:08:52,55.745562,49.218115,0,38
102,2771,1,10,2,14.11.2020 23:08:38,55.77128,49.211788,0,92
103,4828,15,4,2,14.11.2020 23:07:15,55.832095,49.044193,0,150
104,2426,22,6,1,14.11.2020 23:08:44,55.771778,49.208298,0,244
105,2778,31,22,2,14.11.2020 23:08:54,55.75997,49.191538,39,135
106,2551,45,8,2,14.11.2020 23:07:28,55.773743,49.212631,0,42
107,1108,37,9,2,14.11.2020 23:08:40,55.873983,49.00245,0,178
108,2528,45,21,2,14.11.2020 23:04:29,55.772524,49.212168,0,305
109,2130,30,19,2,14.11.2020 23:08:43,55.772708,49.210082,0,101
110,9927,53,3,2,14.11.2020 23:08:40,55.81195,49.267217,0,39
111,4234,72,15,2,14.11.2020 23:08:57,55.83158,48.892638,41,188
112,2776,0,0,0,14.11.2020 22:57:56,55.773675,49.211998,0,328
113,17814,43,12,2,14.11.2020 23:08:46,55.783107,49.17801,0,10
114,11952,0,0,0,14.11.2020 23:08:40,55.796567,49.164983,0,357
115,9794,33,3,2,14.11.2020 23:08:40,55.811433,49.2667,0,23
116,1104,37,1,2,14.11.2020 23:08:40,55.8743,49.002,0,54
117,16324,74,3,2,14.11.2020 23:08:40,55.795267,49.165967,0,35
118,9415,33,14,2,14.11.2020 23:08:33,55.812058,49.267173,0,349
119,4162,10,10,2,14.11.2020 23:08:38,55.831009,49.047824,0,233
120,9596,63,9,2,14.11.2020 22:57:43,55.811428,49.267123,0,257
121,4233,72,8,2,14.11.2020 23:08:50,55.83104,49.047717,0,312
122,2720,30,15,2,14.11.2020 23:08:54,55.77298,49.20889,5,2
123,2854,4,2,2,14.11.2020 23:08:39,55.77287,49.212693,0,176
124,4161,29,2,2,14.11.2020 23:08:52,55.832697,49.04339,0,200
125,9703,33,16,2,14.11.2020 23:08:26,55.812238,49.267622,0,159
126,2534,45,17,2,14.11.2020 23:08:55,55.799999,48.978127,37,293
127,2713,5,6,2,14.11.2020 23:08:42,55.771552,49.211928,0,349
128,2151,31,8,2,14.11.2020 23:08:50,55.767457,49.104618,35,164
129,4308,29,8,2,14.11.2020 23:08:47,55.832103,49.044133,0,157
130,4769,72,3,2,14.11.2020 23:08:57,55.832078,49.043592,0,154
131,4197,36,5,2,14.11.2020 22:55:18,55.832153,49.048769,0,48
132,14845,35,10,2,14.11.2020 23:08:40,55.80865,49.06185,0,40
133,4153,15,2,2,14.11.2020 23:08:47,55.827245,49.107587,49,269
134,2106,31,20,2,14.11.2020 23:08:50,55.772297,49.20947,0,224
135,4703,2,13,2,14.11.2020 23:08:31,55.831944,49.048459,0,352
136,2752,91,10,2,14.11.2020 23:08:36,55.772388,49.208702,0,0
137,17054,43,10,2,14.11.2020 22:50:43,55.782983,49.177877,0,208
138,4170,36,7,2,14.11.2020 23:08:30,55.831232,49.049074,0,146
139,4184,29,3,2,14.11.2020 23:07:09,55.878939,49.006488,0,2
140,2726,91,8,2,14.11.2020 23:08:55,55.820983,49.184172,20,237
141,7122,89,17,2,14.11.2020 23:08:40,55.874067,49.0033,0,125
142,4764,46,17,2,14.11.2020 23:08:47,55.836748,48.970757,44,290
143,2732,91,3,2,14.11.2020 23:08:55,55.772467,49.210845,0,263
144,4268,47,5,2,14.11.2020 23:06:49,55.831669,49.049866,0,93
145,2502,31,10,2,14.11.2020 23:08:39,55.771622,49.21178,0,8
146,4205,46,13,2,14.11.2020 23:08:50,55.820064,48.895313,24,259
147,93750,53,2,2,14.11.2020 23:08:40,55.811717,49.267167,0,212
